Test Case #,Sensor_ID,Expected Output,Actual Output,Function:,Is_Reverse
1,1,FALSE,,,
2,2,FALSE,,,
3,3,TRUE,,,
4,4,TRUE,,,
5,5,TRUE,,,
6,6,FALSE,,,
7,7,FALSE,,,
8,8,FALSE,,,
9,9,FALSE,,,
10,10,FALSE,,,
11,11,FALSE,,,
12,12,FALSE,,,
13,13,FALSE,,,
14,14,FALSE,,,
15,15,FALSE,,,
16,16,FALSE,,,
17,17,FALSE,,,
18,18,FALSE,,,
19,19,FALSE,,,
20,20,FALSE,,,
21,21,FALSE,,,
22,22,FALSE,,,
23,23,FALSE,,,
24,24,FALSE,,,
25,25,FALSE,,,
26,26,TRUE,,,
27,27,FALSE,,,
28,28,FALSE,,,
29,29,FALSE,,,
30,30,TRUE,,,
31,31,TRUE,,,
32,32,FALSE,,,
33,33,FALSE,,,
34,34,FALSE,,,
35,35,FALSE,,,
36,36,FALSE,,,
37,37,FALSE,,,
38,38,FALSE,,,
39,39,FALSE,,,
40,40,FALSE,,,
41,41,FALSE,,,
42,42,FALSE,,,
43,43,FALSE,,,
44,44,FALSE,,,
45,45,FALSE,,,
46,46,FALSE,,,
47,47,FALSE,,,
48,48,FALSE,,,
49,49,FALSE,,,
50,50,FALSE,,,
51,51,FALSE,,,